Wall time,Step,Value
1528751800.6730385,2500,5.199743747711182
1528752620.2140121,5000,4.658388137817383
1528753452.9858673,7500,4.330587863922119
1528754282.6180072,10000,4.094069480895996
1528755108.4470804,12500,4.12092399597168
1528755934.8295097,15000,4.0587077140808105
1528756766.7084482,17500,4.065773963928223
1528757598.595295,20000,4.009659767150879
1528758434.1317167,22500,4.065079689025879
1528759267.2752202,25000,4.00717306137085
1528760101.9386337,27500,4.00964879989624
1528760936.7600527,30000,4.003258228302002
1528761771.1912005,32500,4.010593891143799
1528762610.6789167,35000,4.011837005615234
1528763445.7104516,37500,4.547336578369141
1528764275.9756684,40000,3.993739604949951
1528765108.4369178,42500,4.019686222076416
1528765938.5317984,45000,3.978642225265503
1528766776.5871031,47500,3.970787525177002
1528767610.3276434,50000,3.978668451309204
1528768432.2842188,52500,3.9583775997161865
1528769249.7057483,55000,3.9491167068481445
1528770070.077776,57500,3.9527676105499268
1528770891.869419,60000,3.9432930946350098
1528771710.2845967,62500,3.959313154220581
1528772505.0449128,65000,3.9336166381835938
1528773298.301473,67500,4.010156154632568
1528774093.5779119,70000,3.9224185943603516
1528774889.7986765,72500,3.9189035892486572
1528775682.564407,75000,3.9341657161712646
1528776449.2402787,77500,3.9231698513031006
1528777221.3106575,80000,3.9120521545410156
1528777987.6360967,82500,3.9057016372680664
1528778757.8280604,85000,3.9084157943725586
1528779529.2532284,87500,3.897836923599243
1528780269.0085456,90000,3.890453338623047
1528781008.9796383,92500,3.8982415199279785
1528781753.247687,95000,3.8906898498535156
1528782496.5156038,97500,3.888948440551758
1528783241.355909,100000,3.8819620609283447
1528783956.7518952,102500,3.880298137664795
1528784677.5765843,105000,3.879483938217163
1528785393.8164454,107500,3.879102945327759
1528786109.1679797,110000,3.87311053276062
1528786827.2037277,112500,3.875495433807373
1528787524.157006,115000,3.874640941619873
1528788218.4033751,117500,3.87190318107605
1528788912.1049995,120000,3.8734817504882812
1528789604.3820117,122500,3.873358726501465
1528790297.778725,125000,3.868311643600464
1528790967.7390432,127500,3.8680474758148193
1528791637.4145045,130000,3.8693253993988037
1528792307.1242952,132500,3.8678762912750244
1528792964.4027433,135000,3.866786003112793
1528793613.0207734,137500,3.8661322593688965
1528794227.6457858,140000,3.8651113510131836
1528794835.4252717,142500,3.8633687496185303
1528795449.0522914,145000,3.8625757694244385
1528796058.9686117,147500,3.861868381500244
1528796669.6944716,150000,3.861238479614258
1528797259.629708,152500,3.8616840839385986
1528797845.4188666,155000,3.8604133129119873
1528798429.9830801,157500,3.8594484329223633
1528799017.8727825,160000,3.8597655296325684
1528799604.3691235,162500,3.8578174114227295
1528800156.247103,165000,3.858933448791504
1528800706.64948,167500,3.858271360397339
1528801257.2272172,170000,3.857088088989258
1528801811.095496,172500,3.85713529586792
1528802363.8945875,175000,3.857189178466797
1528802917.5670025,177500,3.857778787612915
1528803467.0834415,180000,3.856010675430298
1528804020.5694072,182500,3.8561949729919434
1528804571.1638703,185000,3.85581111907959
1528805119.3531768,187500,3.855384111404419
1528805669.2921576,190000,3.856328248977661
1528806219.3910418,192500,3.855050563812256
1528806768.3793514,195000,3.85467529296875
1528807318.107337,197500,3.854633331298828
1528807866.1920547,200000,3.85378360748291
1528808413.2555408,202500,3.854299545288086
1528808962.018495,205000,3.854917526245117
1528809520.6788135,207500,3.8543708324432373
1528810070.3446972,210000,3.8537514209747314
1528810620.6256254,212500,3.8530821800231934
1528811177.1477191,215000,3.8536598682403564
1528811729.6553392,217500,3.8529725074768066
1528812278.6153424,220000,3.8530256748199463
1528812827.8027232,222500,3.8528263568878174
1528813379.958228,225000,3.8530468940734863
1528813931.8447633,227500,3.8526196479797363
1528814484.5374103,230000,3.852433919906616
1528815034.7284212,232500,3.852306365966797
1528815587.1730552,235000,3.852316379547119
1528816140.1141546,237500,3.852400779724121
1528816690.7857277,240000,3.852336883544922
1528817242.1489508,242500,3.8523130416870117
1528817791.4075866,245000,3.8519368171691895
1528818343.5785692,247500,3.8516745567321777
1528818894.9164126,250000,3.8517422676086426
