Wall time,Step,Value
1528813316.7308688,2500,8.789237976074219
1528814575.5851498,5000,7.548952579498291
1528815853.779112,7500,7.356257438659668
1528817128.8660007,10000,7.124291896820068
1528818387.5077598,12500,6.843395709991455
1528819567.9491584,15000,6.389707088470459
1528820767.1760488,17500,6.272526741027832
1528821969.2329504,20000,6.204747200012207
1528823164.2799602,22500,6.249179363250732
1528824358.7198231,25000,6.153652667999268
1528825555.5637991,27500,6.1456618309021
1528826759.6576421,30000,6.113963603973389
1528827960.6064115,32500,6.094446659088135
1528829160.7718742,35000,6.094020843505859
1528830366.511038,37500,6.09798002243042
1528831517.880426,40000,6.03945779800415
1528832675.9458435,42500,6.029194355010986
1528833826.8509133,45000,6.018134117126465
1528834970.2581446,47500,6.011937618255615
1528836108.038615,50000,6.0012102127075195
1528837251.2493153,52500,5.982569694519043
1528838412.3179364,55000,5.980165958404541
1528839577.747942,57500,5.965745449066162
1528840734.1590004,60000,5.983022689819336
1528841889.9743586,62500,5.961549758911133
1528842987.9637053,65000,5.949277400970459
1528844107.7167704,67500,5.947857856750488
1528845212.4662733,70000,5.934507369995117
1528846306.8264592,72500,5.933496952056885
1528847402.2659514,75000,5.941965579986572
1528848489.3943238,77500,5.9294843673706055
1528849577.5576956,80000,5.919612884521484
1528850662.7960978,82500,5.9178009033203125
1528851747.7235413,85000,5.9220099449157715
1528852847.5738592,87500,5.919601917266846
1528853898.2123687,90000,5.90627908706665
1528854955.1346593,92500,5.907340049743652
1528856006.9116368,95000,5.898614883422852
1528857058.7997005,97500,5.893903732299805
1528858091.1588457,100000,5.892582893371582
1528859138.1709216,102500,5.8960394859313965
1528860184.922491,105000,5.89197301864624
1528861231.3861406,107500,5.884006977081299
1528862276.922432,110000,5.887918949127197
1528863324.4284878,112500,5.881618022918701
1528864298.836288,115000,5.877440929412842
1528865283.0262043,117500,5.875670433044434
1528866265.3526886,120000,5.875531196594238
1528867236.7929964,122500,5.869554042816162
1528868205.7363887,125000,5.8671650886535645
1528869153.4807737,127500,5.869420528411865
1528870104.3444757,130000,5.862850666046143
1528871053.2120214,132500,5.866272926330566
1528872004.7034361,135000,5.858770847320557
1528872955.0416665,137500,5.8563432693481445
1528873903.0161884,140000,5.854666233062744
1528874851.9721994,142500,5.85826301574707
1528875799.5067127,145000,5.855088233947754
1528876736.2190437,147500,5.853418350219727
1528877686.6761065,150000,5.854800701141357
1528878635.3685243,152500,5.852176666259766
1528879586.0999432,155000,5.848834037780762
1528880533.110935,157500,5.847814559936523
1528881478.6296785,160000,5.848048210144043
1528882429.045408,162500,5.846752643585205
1528883381.4811635,165000,5.849032402038574
1528884328.5052412,167500,5.8445515632629395
1528885274.5788648,170000,5.845493316650391
1528886210.55944,172500,5.843361854553223
1528887152.6202633,175000,5.843658447265625
1528888102.8020837,177500,5.841559410095215
1528889058.5929117,180000,5.841073513031006
1528890012.3163488,182500,5.839375019073486
1528890972.5517094,185000,5.839419364929199
1528891924.474835,187500,5.838734149932861
1528892875.0991063,190000,5.83831787109375
1528893826.148389,192500,5.8368940353393555
1528894785.2494771,195000,5.836146354675293
1528895742.9706547,197500,5.835570812225342
1528896693.303066,200000,5.834994792938232
1528897648.1707551,202500,5.83551549911499
1528898599.3670428,205000,5.835687637329102
1528899545.1884127,207500,5.832399845123291
1528900501.1520255,210000,5.832211494445801
1528901462.4310846,212500,5.831955432891846
1528902430.6614473,215000,5.8340277671813965
1528903389.1504192,217500,5.832140922546387
1528904346.2101343,220000,5.8312602043151855
1528905305.6621892,222500,5.832003593444824
1528906261.2641537,225000,5.830961227416992
1528907212.7703161,227500,5.829771518707275
1528908168.5249233,230000,5.829726696014404
1528909115.8623424,232500,5.829975605010986
1528910059.9187872,235000,5.828318119049072
1528911013.4204538,237500,5.828480243682861
1528911959.3993013,240000,5.828308582305908
1528912910.4886658,242500,5.827769756317139
1528913861.249796,245000,5.827751636505127
1528914814.8603358,247500,5.827127933502197
1528915767.0639236,250000,5.827744960784912
