Wall time,Step,Value
1528027341.434215,2500,4.366629600524902
1528027504.6785417,5000,4.324347019195557
1528027672.1467757,7500,4.447701454162598
1528027840.6248424,10000,4.328435897827148
1528028009.2462428,12500,4.4858808517456055
1528028199.3654692,15000,4.230349063873291
1528028387.9899948,17500,4.203781604766846
1528028577.2196512,20000,4.196408748626709
1528028768.1862319,22500,4.166172504425049
1528028959.3962028,25000,4.148881912231445
1528029172.364902,27500,4.1078057289123535
1528029385.0800266,30000,4.093306064605713
1528029596.009852,32500,4.099918842315674
1528029806.1542528,35000,4.0745320320129395
1528030018.887126,37500,4.082859516143799
1528030250.3409796,40000,4.020429611206055
1528030482.8119445,42500,4.029241561889648
1528030714.8096807,45000,4.009904384613037
1528030946.5611136,47500,4.022608757019043
1528031175.5010855,50000,4.020872116088867
1528031438.6042347,52500,3.9767141342163086
1528031702.3959959,55000,3.9653515815734863
1528031965.7082582,57500,3.9630320072174072
1528032230.022947,60000,3.9639952182769775
1528032493.6562166,62500,3.95603084564209
1528032783.9684565,65000,3.9292778968811035
1528033074.9841216,67500,3.929704189300537
1528033363.6906052,70000,3.9366214275360107
1528033653.2809684,72500,3.926279306411743
1528033944.701707,75000,3.9276366233825684
1528034280.9247355,77500,3.8980093002319336
1528034614.1440866,80000,3.900312662124634
1528034949.311416,82500,3.8937318325042725
1528035286.0368676,85000,3.895081043243408
1528035622.237601,87500,3.8896732330322266
1528035982.4061847,90000,3.8893637657165527
1528036343.4284723,92500,3.8801348209381104
1528036705.315305,95000,3.881159543991089
1528037065.992048,97500,3.8794145584106445
1528037426.6845984,100000,3.8786559104919434
1528037812.2377226,102500,3.877856492996216
1528038195.4553008,105000,3.8700358867645264
1528038579.9570549,107500,3.870342493057251
1528038964.0479393,110000,3.8699324131011963
1528039348.2922246,112500,3.8694236278533936
1528039756.8135715,115000,3.8659493923187256
1528040162.8601034,117500,3.8643240928649902
1528040571.6644053,120000,3.8622186183929443
1528040979.9096215,122500,3.861859083175659
1528041387.5899017,125000,3.8611135482788086
1528041814.9895213,127500,3.8596925735473633
1528042239.2918775,130000,3.8591456413269043
1528042665.0607579,132500,3.8568315505981445
1528043092.9508345,135000,3.8576810359954834
1528043519.4629755,137500,3.857412815093994
1528043985.1504893,140000,3.8548519611358643
1528044454.1187992,142500,3.854257345199585
1528044919.8304882,145000,3.8540287017822266
1528045385.7690725,147500,3.853339910507202
1528045852.0703726,150000,3.853076934814453
1528046340.3023791,152500,3.8532466888427734
1528046837.8391984,155000,3.8523788452148438
1528047338.5832462,157500,3.851295232772827
1528047838.5265262,160000,3.8516268730163574
1528048339.5041776,162500,3.851085662841797
1528048859.9670217,165000,3.850595474243164
1528049379.4728692,167500,3.8503150939941406
1528049899.285293,170000,3.850496768951416
1528050418.5850854,172500,3.8501551151275635
1528050944.7010593,175000,3.8499042987823486
1528051487.1406498,177500,3.8487820625305176
1528052032.7493937,180000,3.8489134311676025
1528052572.1206484,182500,3.8490681648254395
1528053109.4557502,185000,3.8483221530914307
1528053654.2840493,187500,3.848987102508545
1528054196.7370965,190000,3.8486204147338867
1528054735.309539,192500,3.848593235015869
1528055273.3845782,195000,3.848119020462036
1528055817.2533963,197500,3.8480119705200195
1528056361.1658542,200000,3.8480732440948486
1528056906.5212064,202500,3.847271680831909
1528057451.709736,205000,3.8474717140197754
1528057995.6761034,207500,3.8474018573760986
1528058539.8205016,210000,3.847461462020874
1528059084.7001984,212500,3.847494125366211
1528059629.5548964,215000,3.8469042778015137
1528060174.8757482,217500,3.846893548965454
1528060719.234459,220000,3.846898317337036
1528061263.980792,222500,3.8466315269470215
1528061801.7618673,225000,3.8465402126312256
1528062345.1096978,227500,3.846752882003784
1528062885.8362517,230000,3.8468847274780273
1528063421.9771318,232500,3.846353054046631
1528063958.4165487,235000,3.846479654312134
1528064497.816036,237500,3.846372365951538
1528065043.576576,240000,3.846259832382202
1528065586.095099,242500,3.8461692333221436
1528066130.1267004,245000,3.8463733196258545
1528066674.2346916,247500,3.8461241722106934
1528067217.4065952,250000,3.846236228942871
