0,72.75,,75.0,54.8,81.6,79.6
1,71.2,,78.0,51.2,90.2,65.4
2,71.85,,77.0,69.0,80.8,60.6
3,71.25,,70.2,53.2,87.0,74.6
4,73.05,,74.6,65.2,82.0,70.4
5,76.6,,83.2,54.2,84.2,84.8
6,69.95,,60.8,82.2,79.8,57.0
7,68.05,,81.8,32.6,90.6,67.2
8,74.1,,78.4,66.6,83.2,68.2
9,74.95,,95.8,56.8,88.8,58.4
10,69.4,,70.4,43.4,84.8,79.0
11,74.3,,82.2,54.6,73.0,87.4
12,78.45,,89.2,60.2,79.0,85.4
13,74.6,,69.0,73.4,83.6,72.4
14,72.95,,72.2,53.0,80.4,86.2
15,80.35,,89.0,69.4,73.6,89.4
16,74.4,,82.6,56.4,83.8,74.8
17,71.95,,73.6,60.0,71.6,82.6
18,70.4,,65.4,61.0,85.0,70.2
19,73.25,,71.8,66.6,80.2,74.4
20,75.95,,79.0,79.4,69.4,76.0
21,77.6,,83.4,71.2,79.8,76.0
22,77.1,,81.6,69.0,78.2,79.6
23,65.5,,67.4,76.0,84.2,34.4
24,73.45,,70.0,74.8,80.2,68.8
25,71.8,,70.0,61.8,86.2,69.2
26,70.7,,65.2,67.4,87.0,63.2
27,70.3,,70.6,42.2,79.8,88.6
28,73.6,,71.6,68.0,84.6,70.2
29,74.4,,72.4,67.8,73.0,84.4
30,72.1,,75.6,56.0,74.6,82.2
31,71.15,,79.4,43.6,85.8,75.8
32,76.6,,90.4,52.4,74.4,89.2
33,69.85,,72.2,39.2,86.2,81.8
34,76.45,,81.4,61.6,73.2,89.6
35,78.65,,89.0,68.8,78.0,78.8
36,77.7,,84.0,62.8,85.2,78.8
37,72.6,,62.8,78.0,77.0,72.6
38,74.85,,88.0,53.6,60.8,97.0
39,71.4,,93.4,41.2,57.6,93.4
40,73.1,,67.0,70.2,83.0,72.2
41,71.35,,69.8,53.4,73.2,89.0
42,72.15,,79.2,49.2,87.8,72.4
43,73.3,,79.8,66.0,85.2,62.2
44,76.25,,84.8,58.4,81.6,80.2
45,65.3,,72.0,26.4,77.0,85.8
46,78.25,,86.0,62.8,69.8,94.4
47,71.7,,71.4,60.4,76.6,78.4
48,77.25,,80.6,60.8,78.4,89.2
49,72.85,,74.6,54.2,80.2,82.4
50,71.4,,82.8,56.4,90.6,55.8
51,72.2,,71.4,56.2,81.2,80.0
52,66.95,,63.2,41.4,85.8,77.4
53,75.35,,80.8,60.2,78.4,82.0
54,68.5,,69.0,46.6,78.0,80.4
55,77.7,,78.0,82.6,75.6,74.6
56,73.8,,75.8,56.8,80.4,82.2
57,76.0,,79.2,56.4,78.2,90.2
58,79.65,,86.8,72.2,79.6,80.0
59,72.5,,85.6,51.2,82.8,70.4
60,74.55,,73.2,56.8,84.0,84.2
61,76.95,,80.2,71.8,79.2,76.6
62,76.35,,87.6,54.8,78.8,84.2
63,77.25,,88.0,54.8,77.8,88.4
64,77.45,,79.6,67.6,78.4,84.2
65,66.55,,71.8,30.6,74.8,89.0
66,76.85,,80.6,73.8,73.6,79.4
67,72.2,,65.2,60.0,77.6,86.0
68,71.0,,66.4,63.6,66.6,87.4
69,72.15,,68.8,69.4,79.4,71.0
70,72.0,,63.0,61.6,80.4,83.0
71,66.5,,49.4,62.2,81.0,73.4
72,73.5,,72.8,66.6,80.4,74.2
73,72.2,,77.4,52.6,88.4,70.4
74,73.5,,70.0,69.2,79.6,75.2
75,78.95,,83.2,70.0,80.2,82.4
76,75.15,,76.0,73.0,81.0,70.6
77,74.75,,83.6,49.2,78.6,87.6
78,76.05,,80.2,62.0,83.0,79.0
79,76.3,,91.6,49.6,74.0,90.0
80,75.3,,77.4,71.0,74.6,78.2
81,69.8,,69.8,49.4,78.8,81.2
82,70.05,,75.6,40.6,82.2,81.8
83,73.8,,82.0,52.0,78.6,82.6
84,74.6,,75.0,56.4,82.2,84.8
85,68.7,,59.6,65.0,81.4,68.8
86,78.0,,83.6,68.2,79.4,80.8
87,68.75,,70.6,50.4,88.8,65.2
88,77.85,,94.4,64.0,68.2,84.8
89,71.75,,69.2,50.6,86.2,81.0
90,71.9,,61.4,65.4,85.2,75.6
91,74.1,,82.6,50.4,80.2,83.2
92,72.55,,75.2,54.8,75.0,85.2
93,75.5,,79.8,68.8,87.2,66.2
94,74.6,,80.6,74.2,74.6,69.0
95,76.3,,79.6,63.6,84.8,77.2
96,71.6,,93.6,34.2,67.8,90.8
97,71.5,,71.8,65.8,77.6,70.8
98,74.45,,81.0,62.0,84.2,70.6
99,73.5,,80.0,50.6,85.2,78.2
