0,79.6,86.0,60.6,88.0,83.8
1,75.95,83.0,79.4,80.4,61.0
2,84.0,86.8,70.4,87.4,91.4
3,81.15,80.2,70.8,86.0,87.6
4,83.05,92.6,64.4,90.8,84.4
5,84.55,92.8,74.0,80.4,91.0
6,82.7,88.4,68.2,84.0,90.2
7,79.15,77.0,64.4,84.4,90.8
8,83.75,84.8,78.6,84.2,87.4
9,83.55,89.2,71.2,89.6,84.2
10,81.5,91.0,57.4,88.6,89.0
11,80.2,84.0,80.0,81.0,75.8
12,77.5,80.6,64.6,79.0,85.8
13,84.15,92.4,67.0,87.0,90.2
14,83.75,91.4,68.0,91.6,84.0
15,85.1,91.8,71.2,89.6,87.8
16,86.3,91.8,77.6,83.6,92.2
17,85.3,88.2,78.0,86.2,88.8
18,86.55,93.0,79.0,80.0,94.2
19,86.3,93.8,78.4,88.2,84.8
20,78.2,79.6,63.4,85.2,84.6
21,83.3,88.0,73.8,88.8,82.6
22,83.5,86.8,71.4,87.4,88.4
23,84.0,88.4,71.2,82.0,94.4
24,79.4,79.0,72.2,77.6,88.8
25,81.75,90.4,60.6,92.0,84.0
26,82.9,91.0,64.0,88.2,88.4
27,78.25,89.0,48.0,82.2,93.8
28,81.6,89.0,67.8,83.8,85.8
29,79.65,84.6,72.2,83.8,78.0
30,85.3,94.2,69.8,84.4,92.8
31,84.6,85.6,79.0,83.0,90.8
32,74.35,77.8,67.8,78.2,73.6
33,81.3,92.4,56.2,88.2,88.4
34,80.95,90.2,61.6,76.6,95.4
35,82.0,95.2,62.2,87.0,83.6
36,81.5,90.2,66.4,88.4,81.0
37,78.7,81.4,69.4,83.0,81.0
38,81.65,86.6,67.8,90.6,81.6
39,80.4,85.2,73.0,80.8,82.6
40,84.55,91.2,68.6,88.8,89.6
41,82.6,91.2,66.8,82.2,90.2
42,81.4,86.8,62.6,84.0,92.2
43,84.05,88.6,74.6,84.6,88.4
44,81.7,91.0,63.0,90.6,82.2
45,83.65,87.8,79.4,78.6,88.8
46,81.75,91.4,69.8,89.2,76.6
47,84.45,93.4,72.4,81.8,90.2
48,85.15,89.4,77.0,88.6,85.6
49,85.05,90.4,78.0,90.0,81.8
50,85.05,88.0,75.2,85.4,91.6
51,84.75,90.0,75.6,83.8,89.6
52,85.4,94.8,72.0,82.6,92.2
53,82.75,84.0,86.0,85.0,76.0
54,82.65,90.0,64.4,87.4,88.8
55,78.95,82.2,64.6,83.8,85.2
56,83.3,91.4,65.6,86.6,89.6
57,85.2,90.8,79.0,91.6,79.4
58,81.05,85.6,66.4,88.2,84.0
59,81.3,84.8,73.0,75.4,92.0
60,81.2,90.0,67.8,87.6,79.4
61,85.3,91.2,78.6,80.8,90.6
62,82.55,90.6,65.6,85.0,89.0
63,85.55,90.8,74.8,86.0,90.6
64,84.55,88.4,75.6,85.2,89.0
65,85.1,93.0,83.0,80.8,83.6
66,82.75,85.4,85.2,82.4,78.0
67,84.15,90.8,68.2,83.8,93.8
68,83.15,86.0,69.0,81.8,95.8
69,83.35,81.6,81.2,85.4,85.2
70,81.8,88.0,62.4,85.2,91.6
71,83.85,90.4,75.8,76.4,92.8
72,81.95,86.4,75.4,81.2,84.8
73,82.65,92.6,63.8,78.8,95.4
74,82.85,85.6,70.6,83.6,91.6
75,85.25,91.0,74.2,81.0,94.8
76,84.1,89.2,76.4,79.4,91.4
77,77.55,89.6,50.6,83.0,87.0
78,83.05,88.2,71.4,81.0,91.6
79,81.2,92.2,57.6,83.2,91.8
80,83.35,91.6,74.0,75.6,92.2
81,81.2,82.8,71.2,81.8,89.0
82,73.45,72.4,52.0,84.4,85.0
83,85.25,79.2,94.0,79.8,88.0
84,82.6,92.4,58.4,87.2,92.4
85,82.0,90.2,60.6,88.2,89.0
86,81.4,85.2,63.8,84.8,91.8
87,80.05,91.4,62.6,87.2,79.0
88,83.35,90.6,70.6,81.0,91.2
89,83.4,89.6,70.8,82.6,90.6
90,84.0,92.4,65.6,88.0,90.0
91,81.5,81.2,75.0,87.6,82.2
92,86.85,93.8,74.8,87.8,91.0
93,77.75,72.8,75.6,81.8,80.8
94,83.75,91.8,76.4,80.4,86.4
95,82.0,95.4,57.6,83.8,91.2
96,70.95,61.0,79.4,78.0,65.4
97,80.9,89.2,60.8,82.2,91.4
98,56.15,32.6,78.4,76.0,37.6
99,85.25,89.4,75.0,87.2,89.4
