0,Tue Jun 12 17:55:03 2018
1,Tue Jun 12 17:57:35 2018
2,Tue Jun 12 18:00:19 2018
3,Tue Jun 12 18:03:09 2018
4,Tue Jun 12 18:06:01 2018
5,Tue Jun 12 18:09:19 2018
6,Tue Jun 12 18:12:47 2018
7,Tue Jun 12 18:16:22 2018
8,Tue Jun 12 18:19:57 2018
9,Tue Jun 12 18:23:30 2018
10,Tue Jun 12 18:27:05 2018
11,Tue Jun 12 18:31:16 2018
12,Tue Jun 12 18:35:36 2018
13,Tue Jun 12 18:40:02 2018
14,Tue Jun 12 18:44:29 2018
15,Tue Jun 12 18:48:52 2018
16,Tue Jun 12 18:53:18 2018
17,Tue Jun 12 18:57:44 2018
18,Tue Jun 12 19:02:10 2018
19,Tue Jun 12 19:07:10 2018
20,Tue Jun 12 19:12:20 2018
21,Tue Jun 12 19:17:36 2018
22,Tue Jun 12 19:22:52 2018
23,Tue Jun 12 19:28:40 2018
24,Tue Jun 12 19:34:37 2018
25,Tue Jun 12 19:40:39 2018
26,Tue Jun 12 19:46:43 2018
27,Tue Jun 12 19:52:47 2018
28,Tue Jun 12 19:58:51 2018
29,Tue Jun 12 20:04:54 2018
30,Tue Jun 12 20:11:29 2018
31,Tue Jun 12 20:18:13 2018
32,Tue Jun 12 20:25:04 2018
33,Tue Jun 12 20:31:54 2018
34,Tue Jun 12 20:38:45 2018
35,Tue Jun 12 20:45:34 2018
36,Tue Jun 12 20:52:23 2018
37,Tue Jun 12 20:59:13 2018
38,Tue Jun 12 21:06:05 2018
39,Tue Jun 12 21:12:56 2018
40,Tue Jun 12 21:19:44 2018
41,Tue Jun 12 21:26:36 2018
42,Tue Jun 12 21:33:28 2018
43,Tue Jun 12 21:41:06 2018
44,Tue Jun 12 21:48:54 2018
45,Tue Jun 12 21:56:47 2018
46,Tue Jun 12 22:05:15 2018
47,Tue Jun 12 22:13:55 2018
48,Tue Jun 12 22:22:38 2018
49,Tue Jun 12 22:31:19 2018
50,Tue Jun 12 22:40:07 2018
51,Tue Jun 12 22:49:02 2018
52,Tue Jun 12 22:58:04 2018
53,Tue Jun 12 23:07:12 2018
54,Tue Jun 12 23:16:22 2018
55,Tue Jun 12 23:25:32 2018
56,Tue Jun 12 23:34:42 2018
57,Tue Jun 12 23:43:49 2018
58,Tue Jun 12 23:52:58 2018
59,Wed Jun 13 00:02:09 2018
60,Wed Jun 13 00:11:19 2018
61,Wed Jun 13 00:20:28 2018
62,Wed Jun 13 00:29:36 2018
63,Wed Jun 13 00:38:47 2018
64,Wed Jun 13 00:47:54 2018
65,Wed Jun 13 00:57:00 2018
66,Wed Jun 13 01:06:07 2018
67,Wed Jun 13 01:15:18 2018
68,Wed Jun 13 01:24:27 2018
69,Wed Jun 13 01:33:34 2018
70,Wed Jun 13 01:42:43 2018
71,Wed Jun 13 01:51:51 2018
72,Wed Jun 13 02:01:01 2018
73,Wed Jun 13 02:10:08 2018
74,Wed Jun 13 02:19:15 2018
75,Wed Jun 13 02:28:25 2018
76,Wed Jun 13 02:37:34 2018
77,Wed Jun 13 02:46:44 2018
78,Wed Jun 13 02:55:53 2018
79,Wed Jun 13 03:05:01 2018
80,Wed Jun 13 03:14:08 2018
81,Wed Jun 13 03:23:18 2018
82,Wed Jun 13 03:32:29 2018
83,Wed Jun 13 03:41:40 2018
84,Wed Jun 13 03:50:47 2018
85,Wed Jun 13 03:59:55 2018
86,Wed Jun 13 04:09:01 2018
87,Wed Jun 13 04:18:11 2018
88,Wed Jun 13 04:27:20 2018
89,Wed Jun 13 04:36:29 2018
90,Wed Jun 13 04:45:38 2018
91,Wed Jun 13 04:54:49 2018
92,Wed Jun 13 05:03:58 2018
93,Wed Jun 13 05:13:07 2018
94,Wed Jun 13 05:22:15 2018
95,Wed Jun 13 05:31:24 2018
96,Wed Jun 13 05:40:35 2018
97,Wed Jun 13 05:49:42 2018
98,Wed Jun 13 05:58:51 2018
99,Wed Jun 13 06:08:01 2018
