0,Thu Jun  7 11:29:57 2018
1,Thu Jun  7 11:36:12 2018
2,Thu Jun  7 11:42:47 2018
3,Thu Jun  7 11:49:23 2018
4,Thu Jun  7 11:56:07 2018
5,Thu Jun  7 12:02:52 2018
6,Thu Jun  7 12:09:35 2018
7,Thu Jun  7 12:16:22 2018
8,Thu Jun  7 12:23:05 2018
9,Thu Jun  7 12:29:49 2018
10,Thu Jun  7 12:36:33 2018
11,Thu Jun  7 12:43:32 2018
12,Thu Jun  7 12:50:30 2018
13,Thu Jun  7 12:57:27 2018
14,Thu Jun  7 13:04:25 2018
15,Thu Jun  7 13:11:25 2018
16,Thu Jun  7 13:18:33 2018
17,Thu Jun  7 13:25:41 2018
18,Thu Jun  7 13:32:44 2018
19,Thu Jun  7 13:39:51 2018
20,Thu Jun  7 13:46:57 2018
21,Thu Jun  7 13:54:09 2018
22,Thu Jun  7 14:01:18 2018
23,Thu Jun  7 14:08:26 2018
24,Thu Jun  7 14:15:36 2018
25,Thu Jun  7 14:22:48 2018
26,Thu Jun  7 14:30:01 2018
27,Thu Jun  7 14:37:18 2018
28,Thu Jun  7 14:44:34 2018
29,Thu Jun  7 14:51:47 2018
30,Thu Jun  7 14:59:02 2018
31,Thu Jun  7 15:06:24 2018
32,Thu Jun  7 15:13:46 2018
33,Thu Jun  7 15:21:08 2018
34,Thu Jun  7 15:28:28 2018
35,Thu Jun  7 15:35:51 2018
36,Thu Jun  7 15:43:16 2018
37,Thu Jun  7 15:50:43 2018
38,Thu Jun  7 15:58:09 2018
39,Thu Jun  7 16:05:32 2018
40,Thu Jun  7 16:12:59 2018
41,Thu Jun  7 16:20:38 2018
42,Thu Jun  7 16:28:16 2018
43,Thu Jun  7 16:35:54 2018
44,Thu Jun  7 16:43:29 2018
45,Thu Jun  7 16:51:08 2018
46,Thu Jun  7 16:59:30 2018
47,Thu Jun  7 17:07:54 2018
48,Thu Jun  7 17:16:18 2018
49,Thu Jun  7 17:24:44 2018
50,Thu Jun  7 17:33:09 2018
51,Thu Jun  7 17:42:02 2018
52,Thu Jun  7 17:50:53 2018
53,Thu Jun  7 17:59:41 2018
54,Thu Jun  7 18:08:29 2018
55,Thu Jun  7 18:17:16 2018
56,Thu Jun  7 18:26:31 2018
57,Thu Jun  7 18:35:49 2018
58,Thu Jun  7 18:45:05 2018
59,Thu Jun  7 18:54:22 2018
60,Thu Jun  7 19:03:35 2018
61,Thu Jun  7 19:13:20 2018
62,Thu Jun  7 19:23:03 2018
63,Thu Jun  7 19:32:48 2018
64,Thu Jun  7 19:42:33 2018
65,Thu Jun  7 19:52:20 2018
66,Thu Jun  7 20:02:06 2018
67,Thu Jun  7 20:11:49 2018
68,Thu Jun  7 20:21:35 2018
69,Thu Jun  7 20:31:19 2018
70,Thu Jun  7 20:41:04 2018
71,Thu Jun  7 20:50:50 2018
72,Thu Jun  7 21:00:34 2018
73,Thu Jun  7 21:10:09 2018
74,Thu Jun  7 21:19:48 2018
75,Thu Jun  7 21:29:24 2018
76,Thu Jun  7 21:39:04 2018
77,Thu Jun  7 21:48:45 2018
78,Thu Jun  7 21:58:19 2018
79,Thu Jun  7 22:07:57 2018
80,Thu Jun  7 22:17:36 2018
81,Thu Jun  7 22:27:20 2018
82,Thu Jun  7 22:37:03 2018
83,Thu Jun  7 22:46:42 2018
84,Thu Jun  7 22:56:21 2018
85,Thu Jun  7 23:06:01 2018
86,Thu Jun  7 23:15:40 2018
87,Thu Jun  7 23:25:20 2018
88,Thu Jun  7 23:34:59 2018
89,Thu Jun  7 23:44:40 2018
90,Thu Jun  7 23:54:17 2018
91,Fri Jun  8 00:03:58 2018
92,Fri Jun  8 00:13:36 2018
93,Fri Jun  8 00:23:15 2018
94,Fri Jun  8 00:32:53 2018
95,Fri Jun  8 00:42:27 2018
96,Fri Jun  8 00:52:05 2018
97,Fri Jun  8 01:01:45 2018
98,Fri Jun  8 01:11:24 2018
99,Fri Jun  8 01:21:07 2018
