Wall time,Step,Value
1527765236.419647,2500,7.834717750549316
1527766768.8169637,5000,6.722925662994385
1527768301.327776,7500,6.283997535705566
1527769831.6364028,10000,6.141172885894775
1527771366.822057,12500,6.093858242034912
1527772899.305657,15000,6.058670997619629
1527774422.1553755,17500,6.0253071784973145
1527775951.0378025,20000,6.028693675994873
1527777459.7299247,22500,5.986734390258789
1527778980.6037033,25000,5.995172500610352
1527780502.5816379,27500,5.973274230957031
1527782021.7344897,30000,5.9582319259643555
1527783548.2191923,32500,5.9646759033203125
1527785076.786494,35000,5.939022541046143
1527786600.375945,37500,5.942248344421387
1527788130.4526231,40000,5.924405097961426
1527789669.0393412,42500,5.929138660430908
1527791203.2043371,45000,5.9163970947265625
1527792739.899818,47500,5.914536952972412
1527794281.5516062,50000,5.919259071350098
1527795809.289691,52500,5.912560939788818
1527797332.5003002,55000,5.906571388244629
1527798865.934522,57500,5.8912811279296875
1527800396.766642,60000,5.894964694976807
1527801922.6271005,62500,5.891824722290039
1527803444.3102252,65000,5.8907790184021
1527804967.0952122,67500,5.888651371002197
1527806487.1943364,70000,5.886110782623291
1527808009.035223,72500,5.872722625732422
1527809519.0771267,75000,5.879880905151367
1527811029.0744507,77500,5.872249126434326
1527812545.0725477,80000,5.8720879554748535
1527814050.5632172,82500,5.874271869659424
1527815559.8301673,85000,5.862955093383789
1527817082.2924829,87500,5.862605094909668
1527818603.826746,90000,5.857236385345459
1527820120.9288461,92500,5.862763404846191
1527821638.0519197,95000,5.858345985412598
1527823159.8197334,97500,5.854607582092285
1527824673.4226117,100000,5.855850696563721
1527826192.4410553,102500,5.852546215057373
1527827708.4678571,105000,5.852904796600342
1527829221.171584,107500,5.847199440002441
1527830735.4071684,110000,5.850582122802734
1527832254.4964647,112500,5.845150470733643
1527833782.7823882,115000,5.846218109130859
1527835297.8469667,117500,5.844149112701416
1527836818.1655145,120000,5.8426361083984375
1527838332.3939848,122500,5.839234352111816
1527839858.0029354,125000,5.842598915100098
1527841371.6250992,127500,5.839186191558838
1527842890.534082,130000,5.842914581298828
1527844417.35718,132500,5.839295864105225
1527845940.4951513,135000,5.83848762512207
1527847476.2083852,137500,5.83680534362793
1527849011.5284283,140000,5.8359503746032715
1527850548.142316,142500,5.835818290710449
1527852082.7334952,145000,5.8338236808776855
1527853620.529965,147500,5.8345255851745605
1527855157.1755505,150000,5.831250190734863
1527856693.7724674,152500,5.829807281494141
1527858230.424836,155000,5.830270767211914
1527859760.3938353,157500,5.830161094665527
1527861278.8603761,160000,5.827406406402588
1527862815.2056198,162500,5.8283162117004395
1527864342.9939406,165000,5.828446865081787
1527865865.823571,167500,5.8263163566589355
1527867392.2456565,170000,5.826866626739502
1527868909.7376213,172500,5.8257927894592285
1527870434.3348656,175000,5.826317310333252
1527871947.313584,177500,5.825314998626709
1527873467.2688334,180000,5.825769901275635
1527874983.9937491,182500,5.824408054351807
1527876501.189462,185000,5.82381534576416
1527878018.7859986,187500,5.82367467880249
1527879540.6969395,190000,5.823456287384033
1527881056.9623067,192500,5.822287082672119
1527882581.9726615,195000,5.822037696838379
1527884101.6519573,197500,5.823179721832275
1527885626.7639623,200000,5.823471546173096
1527887147.041389,202500,5.821892261505127
1527888663.0725226,205000,5.821737289428711
1527890180.6709263,207500,5.819769859313965
1527891680.3807192,210000,5.81990909576416
1527893194.975418,212500,5.820077419281006
1527894712.6151166,215000,5.8204851150512695
1527896226.8757098,217500,5.819186210632324
1527897747.8112783,220000,5.819939136505127
1527899267.1216109,222500,5.81878662109375
1527900764.6468863,225000,5.818387508392334
1527902272.966554,227500,5.817876815795898
1527903788.897485,230000,5.817982196807861
1527905296.1681633,232500,5.816781520843506
1527906808.414369,235000,5.817918300628662
1527908305.2360039,237500,5.817637920379639
1527909815.194716,240000,5.8174052238464355
1527911320.8727212,242500,5.8166327476501465
1527912830.950169,245000,5.8177266120910645
1527914346.6495855,247500,5.817005157470703
1527915858.9448478,250000,5.815739154815674
