0,78.75833333333334,76.36666666666666,64.86666666666666,88.73333333333333,85.06666666666666
1,85.3,88.06666666666666,77.93333333333334,90.48333333333333,84.71666666666667
0,82.48333333333333,93.98333333333333,60.55,84.93333333333334,90.46666666666667
1,84.325,95.23333333333333,67.66666666666667,84.36666666666666,90.03333333333333
2,84.23333333333333,94.18333333333334,61.63333333333333,88.45,92.66666666666667
3,86.5,91.7,76.25,88.05,90.0
4,83.5875,82.81666666666666,76.03333333333333,92.06666666666666,83.43333333333334
5,83.21666666666667,93.28333333333333,63.13333333333333,91.08333333333333,85.36666666666666
6,83.59583333333333,92.11666666666666,65.9,86.31666666666666,90.05
7,84.38333333333334,94.45,74.61666666666666,88.88333333333334,79.58333333333333
8,82.49166666666666,91.06666666666666,61.18333333333333,86.95,90.76666666666667
9,85.56666666666666,89.63333333333334,74.03333333333333,92.66666666666667,85.93333333333334
0,85.12083333333334,94.65,68.9,86.43333333333334,90.5
1,84.55,87.38333333333334,71.58333333333333,88.13333333333334,91.1
2,76.88333333333334,84.93333333333334,55.266666666666666,74.4,92.93333333333334
0,86.54166666666667,89.18333333333334,78.43333333333334,90.23333333333333,88.31666666666666
1,84.0875,95.28333333333333,67.1,89.05,84.91666666666667
2,74.28333333333333,90.21666666666667,65.26666666666667,55.18333333333333,86.46666666666667
3,60.3125,89.75,74.21666666666667,46.55,30.733333333333334
0,80.65,78.4,79.8,87.8,76.6
1,80.3,87.0,66.6,94.4,73.2
2,85.45,85.6,85.2,83.0,88.0
3,87.8,89.2,84.2,89.4,88.4
4,86.55,90.2,83.0,84.6,88.4
5,83.1,83.4,69.6,90.2,89.2
6,82.6,90.2,66.2,86.6,87.4
7,83.15,83.0,79.0,90.2,80.4
8,84.65,76.2,89.8,86.2,86.4
0,87.95,87.2,83.0,92.0,89.6
1,82.95,89.6,76.8,80.0,85.4
2,85.55,85.6,89.8,83.0,83.8
3,82.8,88.8,79.8,81.0,81.6
4,86.8,88.2,86.4,90.6,82.0
5,82.2,68.4,93.8,91.8,74.8
6,86.4,83.2,88.0,90.6,83.8
7,86.45,88.4,79.6,89.8,88.0
8,87.3,87.6,83.8,91.2,86.6
9,86.7,88.0,85.6,90.8,82.4
10,86.5,90.6,82.2,88.4,84.8
11,85.9,90.8,79.2,94.2,79.4
12,86.9,86.2,85.0,88.0,88.4
13,83.75,84.0,86.8,91.0,73.2
0,83.65,89.4,71.2,88.8,85.2
1,84.4,89.2,76.2,85.8,86.4
2,86.95,84.4,82.4,89.6,91.4
3,84.7,82.4,86.0,88.0,82.4
4,85.05,86.6,83.0,90.2,80.4
5,81.1,94.4,66.2,79.2,84.6
6,88.45,89.4,84.2,89.2,91.0
7,86.75,93.6,80.0,90.8,82.6
8,84.6,85.2,85.0,85.2,83.0
9,85.5,91.0,82.6,84.2,84.2
10,87.7,85.6,87.0,88.6,89.6
11,85.9,92.2,77.2,90.0,84.2
12,87.25,85.4,90.0,88.0,85.6
13,80.8,90.0,68.2,92.2,72.8
14,84.5,85.4,77.4,86.6,88.6
15,84.15,82.8,87.8,87.8,78.2
16,84.15,88.4,73.8,86.0,88.4
17,84.5,80.8,83.6,91.0,82.6
18,82.65,87.6,76.0,82.6,84.4
19,86.9,89.4,86.6,82.2,89.4
20,83.95,81.2,79.6,85.0,90.0
21,84.25,88.0,74.2,92.4,82.4
22,86.25,87.0,85.4,85.2,87.4
23,86.8,89.8,81.6,88.2,87.6
24,84.3,87.6,79.8,91.0,78.8
25,84.05,82.4,81.6,82.2,90.0
26,83.75,78.0,81.8,87.8,87.4
27,84.25,84.6,85.0,81.4,86.0
28,85.5,78.2,85.6,90.0,88.2
29,85.8,82.4,85.6,89.8,85.4
30,85.35,91.2,76.0,91.4,82.8
31,86.9,88.8,82.0,91.2,85.6
32,83.6,86.6,77.0,91.6,79.2
33,83.75,89.4,69.2,90.0,86.4
34,84.5,88.2,83.8,81.8,84.2
35,86.0,89.6,81.2,89.2,84.0
36,86.8,87.0,89.2,91.2,79.8
37,86.15,93.4,78.6,93.0,79.6
38,84.85,88.4,82.8,91.4,76.8
